algo,job_id,map_tasks_done,reduce_tasks_done,arrival_time,end_time,job_done
RANDOM,3,4,1,1607068560.3654,1607068566.40986,True
RANDOM,2,3,2,1607068559.657448,1607068566.74366,True
RANDOM,4,1,2,1607068561.293879,1607068567.409745,True
RANDOM,1,3,1,1607068638.38539,1607068643.647946,True
RANDOM,0,2,2,1607068637.982083,1607068644.0907,True
RANDOM,2,2,1,1607068638.584097,1607068644.800201,True
RANDOM,3,4,1,1607068639.662689,1607068645.912561,True
RANDOM,4,3,2,1607068640.921867,1607068648.150677,True
RANDOM,0,3,1,1607068768.652452,1607068772.73262,True
RANDOM,1,2,2,1607068769.650505,1607068775.041365,True
RANDOM,2,4,1,1607068771.812832,1607068778.131877,True
RANDOM,4,1,1,1607068775.128563,1607068779.265517,True
RANDOM,3,3,1,1607068774.920415,1607068781.143128,True
RANDOM,0,4,1,1607068814.632546,1607068819.893153,True
RANDOM,3,1,2,1607068818.102305,1607068823.193881,True
RANDOM,4,1,1,1607068818.799298,1607068823.877269,True
RANDOM,1,2,2,1607068816.042086,1607068824.206322,True
RANDOM,2,2,2,1607068816.865775,1607068824.959381,True
LL,0,2,1,1607074221.965229,1607074232.253088,True
LL,1,2,1,1607074222.969314,1607074233.161092,True
LL,2,2,1,1607074223.983235,1607074234.161115,True
LL,3,2,1,1607074224.992277,1607074235.165101,True
LL,4,2,1,1607074226.00268,1607074236.237106,True
LL,5,2,1,1607074227.021815,1607074237.294104,True
LL,6,2,1,1607074228.021229,1607074238.217066,True
LL,0,2,3,1607580737.270013,1607580741.510588,True
LL,1,2,3,1607580738.270573,1607580742.54165,True
LL,2,2,3,1607580739.265322,1607580743.514801,True
LL,3,2,3,1607580740.287557,1607580744.49517,True
LL,4,2,3,1607580741.283028,1607580745.507676,True
LL,5,2,3,1607580742.292516,1607580746.530704,True
LL,6,2,3,1607580743.297837,1607580747.500501,True
LL,0,2,1,1607580815.607434,1607580817.782604,True
LL,1,2,1,1607580816.616898,1607580818.887933,True
LL,2,2,1,1607580817.621552,1607580819.834918,True
LL,3,2,1,1607580818.626171,1607580820.854782,True
LL,4,2,1,1607580819.627303,1607580821.83093,True
LL,5,2,1,1607580820.633896,1607580822.83474,True
LL,6,2,1,1607580821.63765,1607580823.878478,True
LL,0,3,2,1607580856.687041,1607580865.133144,True
LL,1,3,2,1607580857.69833,1607580865.834978,True
LL,2,3,2,1607580858.704118,1607580867.942269,True
LL,3,3,2,1607580859.711021,1607580868.944934,True
LL,4,3,2,1607580860.716472,1607580870.044346,True
LL,5,3,2,1607580861.72029,1607580870.918245,True
LL,6,3,2,1607580862.93403,1607580872.220973,True
RR,0,3,2,1607581023.601842,1607581031.971201,True
RR,1,3,2,1607581024.606557,1607581033.675853,True
RR,2,3,2,1607581025.610491,1607581034.779137,True
RR,3,3,2,1607581026.608731,1607581035.801744,True
RR,4,3,2,1607581027.618358,1607581036.0088,True
RR,5,3,2,1607581028.622116,1607581036.941737,True
RR,6,3,2,1607581029.621319,1607581038.133743,True
